ALBUM,SONG,STREAMS,DAILY
"O!RUL8,2?",Attack on Bangtan,"52,830,948","367,667"
"O!RUL8,2?",BTS Cypher Pt.1,"16,617,215","142,768"
"O!RUL8,2?",Coffee,"65,799,081","730,540"
"O!RUL8,2?",If I Ruled the World,"22,207,483","177,162"
"O!RUL8,2?","Intro: O!RUL8,2?","10,580,305","81,869"
"O!RUL8,2?",N.O,"60,391,132","705,976"
"O!RUL8,2?",Outro: Luv in Skool,"17,879,354","168,691"
"O!RUL8,2?",Paldogangsan,"17,577,571","143,030"
"O!RUL8,2?",Skit: R U Happy Now?,"4,706,150","37,701"
"O!RUL8,2?",We On,"24,465,355","191,568"
2 Cool 4 Skool,Interlude,"10,742,883","87,631"
2 Cool 4 Skool,Intro: 2 Cool 4 Skool,"10,568,806","85,710"
2 Cool 4 Skool,Like,"121,458,771","1,683,408"
2 Cool 4 Skool,No More Dream,"129,353,002","1,144,156"
2 Cool 4 Skool,Outro: Circle Room Cypher,"8,158,266","55,322"
2 Cool 4 Skool,Skit: Circle Room Talk,"5,047,165","39,891"
2 Cool 4 Skool,We Are Bulletproof Pt.2,"108,750,641","513,361"
Wake Up,Boy In Luv - Japanese Ver.,"4,410,191","28,754"
Wake Up,Danger - Japanese Ver.,"4,276,663","27,910"
Wake Up,Iine!,"6,889,585","54,178"
Wake Up,Iine!Pt.2 - Ano Bashode -,"16,144,693","200,545"
Wake Up,Intro.,"3,123,388","22,653"
Wake Up,Jump - Japanese Ver.,"2,433,252","17,151"
Wake Up,Just One Day - Japanese Ver.,"2,896,439","22,209"
Wake Up,N.O - Japanese Ver.,"2,694,866","17,970"
Wake Up,No More Dream - Japanese Ver.,"3,591,747","23,178"
Wake Up,Outro.,"3,416,078","24,627"
Wake Up,Shingeki no Boudan - Japanese Ver.,"3,630,387","27,949"
Wake Up,The Stars,"6,193,288","58,867"
Wake Up,Wake Up,"6,886,065","68,907"
Dark & Wild,24/7=Heaven,"23,916,138","196,349"
Dark & Wild,BTS Cypher Pt.3: Killer,"58,845,400","651,943"
Dark & Wild,Could You Turn off Your Cell Phone,"15,940,461","122,104"
Dark & Wild,Danger,"142,194,676","1,145,214"
Dark & Wild,Embarrassed,"33,045,319","251,271"
Dark & Wild,Hip Hop Phile,"24,519,249","195,473"
Dark & Wild,Interlude: What Are You Doing Now,"12,858,165","127,328"
Dark & Wild,Intro: What Am I to You,"13,813,089","102,518"
Dark & Wild,Let Me Know,"54,443,490","301,399"
Dark & Wild,Look Here,"30,779,046","399,880"
Dark & Wild,Outro: Do You Think It Makes Sense?,"18,662,062","227,811"
Dark & Wild,Rain,"41,601,049","349,676"
Dark & Wild,So 4 more,"33,094,804","213,703"
Dark & Wild,War of Hormone,"90,918,115","548,935"
Skool Luv Affair,BTS Cypher Pt.2: Triptych,"32,979,171","261,448"
Skool Luv Affair,Boy in Luv,"185,240,402","1,349,284"
Skool Luv Affair,Intro: Skool Luv Affair,"17,360,170","142,529"
Skool Luv Affair,Jump,"69,217,986","878,644"
Skool Luv Affair,Just One Day,"140,416,034","1,171,111"
Skool Luv Affair,Like - Slow Jam Remix,"11,839,837","99,404"
Skool Luv Affair,Miss Right,"25,986,113","253,717"
Skool Luv Affair,Outro: Propose,"25,002,826","229,053"
Skool Luv Affair,Skit: Soulmate,"7,841,904","69,608"
Skool Luv Affair,Spine Breaker,"61,326,408","623,603"
Skool Luv Affair,Tomorrow,"63,075,093","418,060"
Skool Luv Affair,Where You From,"23,042,396","176,825"
The Most Beautiful Moment in Life Pt.2,Autumn Leaves,"92,569,309","573,063"
The Most Beautiful Moment in Life Pt.2,Butterfly,"189,584,442","1,179,460"
The Most Beautiful Moment in Life Pt.2,Intro: Never Mind,"22,210,398","136,179"
The Most Beautiful Moment in Life Pt.2,Ma City,"55,110,202","407,395"
The Most Beautiful Moment in Life Pt.2,Outro: House of Cards,"36,351,958","219,150"
The Most Beautiful Moment in Life Pt.2,Run,"209,728,269","1,631,943"
The Most Beautiful Moment in Life Pt.2,Silver Spoon,"197,298,954","1,500,012"
The Most Beautiful Moment in Life Pt.2,Skit: One Night in a Strange City,"5,105,062","37,931"
The Most Beautiful Moment in Life Pt.2,Whalien 52,"59,484,851","391,506"
The Most Beautiful Moment in Life Pt.1,Boyz with Fun,"87,062,730","551,802"
The Most Beautiful Moment in Life Pt.1,Converse High,"63,589,108","464,760"
The Most Beautiful Moment in Life Pt.1,Dope,"273,247,410","1,464,364"
The Most Beautiful Moment in Life Pt.1,Hold Me Tight,"106,205,935","622,122"
The Most Beautiful Moment in Life Pt.1,I Need U,"274,864,135","2,069,212"
The Most Beautiful Moment in Life Pt.1,Intro: The Most Beautiful Moment in Life,"28,287,534","157,189"
The Most Beautiful Moment in Life Pt.1,Moving On,"39,249,098","260,540"
The Most Beautiful Moment in Life Pt.1,Outro: Love Is Not Over,"23,924,817","179,501"
The Most Beautiful Moment in Life Pt.1,Skit: Expectation!,"5,202,884","37,511"
Wings,2! 3!,"84,724,022","567,964"
