ALBUM,SONG,PREV
"O!RUL8,2?",Attack on Bangtan,"52,830,948"
"O!RUL8,2?",BTS Cypher Pt.1,"16,617,215"
"O!RUL8,2?",Coffee,"65,799,081"
"O!RUL8,2?",If I Ruled the World,"22,207,483"
"O!RUL8,2?","Intro: O!RUL8,2?","10,580,305"
"O!RUL8,2?",N.O,"60,391,132"
"O!RUL8,2?",Outro: Luv in Skool,"17,879,354"
"O!RUL8,2?",Paldogangsan,"17,577,571"
"O!RUL8,2?",Skit: R U Happy Now?,"4,706,150"
"O!RUL8,2?",We On,"24,465,355"
2 Cool 4 Skool,Interlude,"10,742,883"
2 Cool 4 Skool,Intro: 2 Cool 4 Skool,"10,568,806"
2 Cool 4 Skool,Like,"121,458,771"
2 Cool 4 Skool,No More Dream,"129,353,002"
2 Cool 4 Skool,Outro: Circle Room Cypher,"8,158,266"
2 Cool 4 Skool,Skit: Circle Room Talk,"5,047,165"
2 Cool 4 Skool,We Are Bulletproof Pt.2,"108,750,641"
Wake Up,Boy In Luv - Japanese Ver.,"4,410,191"
Wake Up,Danger - Japanese Ver.,"4,276,663"
Wake Up,Iine!,"6,889,585"
Wake Up,Iine!Pt.2 - Ano Bashode -,"16,144,693"
Wake Up,Intro.,"3,123,388"
Wake Up,Jump - Japanese Ver.,"2,433,252"
Wake Up,Just One Day - Japanese Ver.,"2,896,439"
Wake Up,N.O - Japanese Ver.,"2,694,866"
Wake Up,No More Dream - Japanese Ver.,"3,591,747"
Wake Up,Outro.,"3,416,078"
Wake Up,Shingeki no Boudan - Japanese Ver.,"3,630,387"
Wake Up,The Stars,"6,193,288"
Wake Up,Wake Up,"6,886,065"
Dark & Wild,24/7=Heaven,"23,916,138"
Dark & Wild,BTS Cypher Pt.3: Killer,"58,845,400"
Dark & Wild,Could You Turn off Your Cell Phone,"15,940,461"
Dark & Wild,Danger,"142,194,676"
Dark & Wild,Embarrassed,"33,045,319"
Dark & Wild,Hip Hop Phile,"24,519,249"
Dark & Wild,Interlude: What Are You Doing Now,"12,858,165"
Dark & Wild,Intro: What Am I to You,"13,813,089"
Dark & Wild,Let Me Know,"54,443,490"
Dark & Wild,Look Here,"30,779,046"
Dark & Wild,Outro: Do You Think It Makes Sense?,"18,662,062"
Dark & Wild,Rain,"41,601,049"
Dark & Wild,So 4 more,"33,094,804"
Dark & Wild,War of Hormone,"90,918,115"
Skool Luv Affair,BTS Cypher Pt.2: Triptych,"32,979,171"
Skool Luv Affair,Boy in Luv,"185,240,402"
Skool Luv Affair,Intro: Skool Luv Affair,"17,360,170"
Skool Luv Affair,Jump,"69,217,986"
Skool Luv Affair,Just One Day,"140,416,034"
Skool Luv Affair,Like - Slow Jam Remix,"11,839,837"
Skool Luv Affair,Miss Right,"25,986,113"
Skool Luv Affair,Outro: Propose,"25,002,826"
Skool Luv Affair,Skit: Soulmate,"7,841,904"
Skool Luv Affair,Spine Breaker,"61,326,408"
Skool Luv Affair,Tomorrow,"63,075,093"
Skool Luv Affair,Where You From,"23,042,396"
The Most Beautiful Moment in Life Pt.2,Autumn Leaves,"92,569,309"
The Most Beautiful Moment in Life Pt.2,Butterfly,"189,584,442"
The Most Beautiful Moment in Life Pt.2,Intro: Never Mind,"22,210,398"
The Most Beautiful Moment in Life Pt.2,Ma City,"55,110,202"
The Most Beautiful Moment in Life Pt.2,Outro: House of Cards,"36,351,958"
The Most Beautiful Moment in Life Pt.2,Run,"209,728,269"
The Most Beautiful Moment in Life Pt.2,Silver Spoon,"197,298,954"
The Most Beautiful Moment in Life Pt.2,Skit: One Night in a Strange City,"5,105,062"
The Most Beautiful Moment in Life Pt.2,Whalien 52,"59,484,851"
The Most Beautiful Moment in Life Pt.1,Boyz with Fun,"87,062,730"
The Most Beautiful Moment in Life Pt.1,Converse High,"63,589,108"
The Most Beautiful Moment in Life Pt.1,Dope,"273,247,410"
The Most Beautiful Moment in Life Pt.1,Hold Me Tight,"106,205,935"
The Most Beautiful Moment in Life Pt.1,I Need U,"274,864,135"
The Most Beautiful Moment in Life Pt.1,Intro: The Most Beautiful Moment in Life,"28,287,534"
The Most Beautiful Moment in Life Pt.1,Moving On,"39,249,098"
The Most Beautiful Moment in Life Pt.1,Outro: Love Is Not Over,"23,924,817"
The Most Beautiful Moment in Life Pt.1,Skit: Expectation!,"5,202,884"
Wings,2! 3!,"84,724,022"
Wings,21st Century Girl,"147,291,632"
Wings,Am I Wrong,"59,154,797"
Wings,Awake,"102,828,080"
Wings,BTS Cypher 4,"145,252,050"
Wings,Begin,"124,009,161"
Wings,Blood Sweat & Tears,"435,059,546"
Wings,First Love,"60,402,146"
Wings,Interlude: Wings,"41,339,198"
Wings,Intro: Boy Meets Evil,"96,683,950"
Wings,Lie,"184,166,951"
Wings,Lost,"84,098,457"
Wings,MAMA,"66,128,054"
Wings,Reflection,"44,267,938"
Wings,Stigma,"128,894,017"
Youth,Butterfly - Japanese Ver.,"5,164,740"
Youth,Dope - Chou Yabee! - Japanese Ver.,"5,171,202"
Youth,Epilogue : Young Forever - Japanese Ver.,"3,945,602"
Youth,Fire - Japanese Ver.,"7,774,097"
Youth,For You,"34,632,759"
Youth,Funtan Syounendan - Japanese Ver.,"3,916,975"
Youth,Good Day,"19,456,782"
Youth,I Need U - Japanese Ver.,"8,118,707"
Youth,Introduction : Youth,"5,553,132"
Youth,Peppuse - Japanese Ver.,"3,329,948"
Youth,Run - Japanese Ver.,"6,320,800"
Youth,Save Me - Japanese Ver.,"5,761,064"
Youth,Wishing On A Star,"15,197,648"
The Most Beautiful Moment in Life: Young Forever,Burning Up (Fire),"263,051,977"
The Most Beautiful Moment in Life: Young Forever,Butterfly - Alternative Mix,"11,712,269"
