ALBUM,SONG,PREV
My World,Bigger,"20,940,756"
My World,Common Denominator - iTunes Bonus,"16,505,608"
My World,Down To Earth,"41,301,641"
My World,Favorite Girl,"96,208,709"
My World,First Dance,"22,033,684"
My World,Love Me,"127,471,819"
My World,One Less Lonely Girl,"139,870,756"
My World,One Less Lonely Girl - French Vocal,"531,227"
My World,One Time,"187,531,529"
My Worlds,Baby,"543,622,841"
My Worlds,Eenie Meenie,"370,017,021"
My Worlds,Never Let You Go,"45,670,626"
My Worlds,Overboard,"65,463,387"
My Worlds,Runaway Love,"25,050,975"
My Worlds,Somebody To Love,"190,975,777"
My Worlds,Stuck In The Moment,"67,119,328"
My Worlds,That Should Be Me,"134,027,721"
My Worlds,U Smile,"84,942,729"
My Worlds,Up,"48,421,626"
Never Say Never - The Remixes,Born To Be Somebody,"20,572,609"
Never Say Never - The Remixes,Never Say Never,"195,011,971"
Never Say Never - The Remixes,Overboard (Live),"2,759,387"
Never Say Never - The Remixes,Runaway Love - Kanye West Remix,"7,576,723"
Never Say Never - The Remixes,That Should Be Me,"47,643,001"
Under The Mistletoe,All I Want For Christmas Is You (SuperFestive!) Duet with Mariah Carey,"81,015,368"
Under The Mistletoe,All I Want Is You,"25,247,028"
Under The Mistletoe,Christmas Eve,"43,409,512"
Under The Mistletoe,Christmas Love,"54,837,397"
Under The Mistletoe,Drummer Boy,"41,569,062"
Under The Mistletoe,Fa La La,"33,670,343"
Under The Mistletoe,Fa La La - (a cappella),"12,024,298"
Under The Mistletoe,Home This Christmas,"17,422,567"
Under The Mistletoe,Mistletoe,"514,520,558"
Under The Mistletoe,Only Thing I Ever Get For Christmas,"24,623,829"
Under The Mistletoe,Pray,"42,323,674"
Under The Mistletoe,Santa Claus Is Coming To Town,"47,209,652"
Under The Mistletoe,Silent Night,"18,600,391"
Under The Mistletoe,Someday At Christmas,"14,472,204"
Under The Mistletoe,The Christmas Song (Chestnuts Roasting On An Open Fire),"83,666,630"
Believe,All Around The World,"115,780,966"
Believe,As Long As You Love Me,"311,539,256"
Believe,Be Alright,"79,635,375"
Believe,Beauty And A Beat,"390,365,213"
Believe,Believe,"34,979,056"
Believe,Boyfriend,"359,623,411"
Believe,Catching Feelings,"31,359,604"
Believe,Die In Your Arms,"62,386,913"
Believe,Fairytale,"14,021,331"
Believe,Fall,"68,012,007"
Believe,Maria,"29,441,923"
Believe,One Love,"32,693,610"
Believe,Out Of Town Girl,"19,332,235"
Believe,Right Here,"50,869,370"
Believe,She Don't Like The Lights,"18,142,625"
Believe,Take You,"38,309,765"
Believe,Thought Of You,"33,573,280"
Believe Acoustic,All Around The World - Acoustic Version,"22,586,449"
Believe Acoustic,As Long As You Love Me - Acoustic Version,"70,300,198"
Believe Acoustic,Be Alright - Acoustic Version,"40,311,087"
Believe Acoustic,Beauty And A Beat,"45,089,069"
Believe Acoustic,Boyfriend - Acoustic Version,"56,412,750"
Believe Acoustic,Fall - Live,"31,899,401"
Believe Acoustic,I Would,"35,360,758"
Believe Acoustic,Nothing Like Us,"141,244,043"
Believe Acoustic,She Don't Like The Lights - Acoustic Version,"27,866,260"
Believe Acoustic,Take You - Acoustic Version,"31,202,618"
Believe Acoustic,Yellow Raincoat,"19,115,505"
Journals,All Bad,"29,162,167"
Journals,All That Matters,"173,608,648"
Journals,Backpack,"33,459,325"
Journals,Bad Day,"34,807,853"
Journals,Change Me,"26,643,749"
Journals,Confident,"274,534,076"
Journals,Flatline,"10,984,703"
Journals,Heartbreaker,"96,778,971"
Journals,Hold Tight,"73,069,918"
Journals,Memphis,"30,124,160"
Journals,One Life,"30,289,578"
Journals,PYD,"22,517,846"
Journals,Recovery,"42,869,786"
Journals,Roller Coaster,"44,436,079"
Journals,Swap It Out,"28,013,401"
Journals,What's Hatnin',"21,987,149"
Purpose,All In It,"64,813,588"
Purpose,Been You,"106,822,636"
Purpose,Children,"116,253,417"
Purpose,Company,"434,058,035"
Purpose,Get Used To It,"84,142,174"
Purpose,I'll Show You,"328,887,418"
Purpose,Life Is Worth Living,"149,297,224"
Purpose,Love Yourself,"1,858,531,769"
Purpose,Mark My Words,"157,300,717"
Purpose,No Pressure,"179,759,407"
Purpose,No Sense,"146,000,887"
Purpose,Purpose,"323,871,914"
Purpose,Sorry,"1,659,953,973"
Purpose,The Feeling,"228,811,776"
Purpose,Trust,"68,361,173"
Purpose,We Are,"74,884,668"
Purpose,What Do You Mean?,"1,327,674,558"
Purpose,What Do You Mean? - Acoustic,"164,923,520"
Purpose,Where Are ?? Now,"979,783,449"
Changes,All Around Me,"70,226,164"
Changes,At Least For Now,"29,224,941"
Changes,Available,"52,510,930"
Changes,Changes,"61,016,550"
Changes,Come Around Me,"108,703,156"
Changes,Confirmation,"46,383,268"
Changes,E.T.A.,"45,158,013"
Changes,Forever (feat. Post Malone & Clever),"201,783,656"
Changes,Get Me (feat. Kehlani),"100,612,566"
Changes,Habitual,"73,419,047"
Changes,Intentions (feat. Quavo),"955,710,297"
Changes,Running Over (feat. Lil Dicky),"48,915,389"
Changes,Second Emotion (feat. Travis Scott),"55,118,071"
Changes,Take It Out On Me,"31,376,613"
Changes,That's What Love Is,"43,414,957"
Changes,Yummy,"687,613,559"
Changes,Yummy - Summer Walker Remix,"41,704,822"
Justice,2 Much,"97,085,754"
Justice,Anyone,"516,024,598"
Justice,As I Am (feat. Khalid),"172,775,728"
Justice,Deserve You,"82,406,783"
Justice,Die For You (feat. Dominic Fike),"74,074,039"
Justice,Ghost,"723,012,795"
Justice,Hold On,"550,535,462"
Justice,Holy (feat. Chance The Rapper),"653,184,664"
Justice,Lonely (with benny blanco),"629,162,422"
Justice,Love You Different (feat. BEAM),"62,979,546"
Justice,Loved By You (feat. Burna Boy),"73,904,342"
Justice,MLK Interlude,"20,743,438"
Justice,Off My Face,"165,166,437"
Justice,Peaches (feat. Daniel Caesar & Giveon),"1,217,189,720"
Justice,Somebody,"70,089,311"
Justice,Unstable (feat. The Kid LAROI),"116,268,292"
Justice,Angels Speak,"13,970,343"
Justice,Hailey,"42,076,746"
Justice,I Can't Be Myself (feat. Jaden),"28,615,249"
Justice,Know No Better (feat. DaBaby),"23,664,319"
Justice,Lifetime,"53,646,250"
Justice,Name (feat. Tori Kelly),"21,801,373"
Justice,Red Eye (feat. TroyBoi),"59,279,429"
Justice,There She Go (feat. Lil Uzi Vert),"42,084,521"
Justice,Wish You Would (feat. Quavo),"21,191,437"
My Worlds - The Collection,Baby - Acoustic Version,"12,790,592"
My Worlds - The Collection,Down To Earth - Acoustic Version,"9,437,768"
My Worlds - The Collection,Favorite Girl (Live) - Acoustic Version,"7,175,186"
My Worlds - The Collection,Never Say Never - Acoustic Version,"8,100,554"
My Worlds - The Collection,One Less Lonely Girl - Acoustic,"10,906,698"
My Worlds - The Collection,One Time - Acoustic Version,"10,363,589"
My Worlds - The Collection,Somebody To Love - J Stax Remix,"1,805,539"
My Worlds - The Collection,Stuck In The Moment - Acoustic Version,"8,063,355"
My Worlds - The Collection,That Should Be Me - Acoustic Version,"10,981,206"
My Worlds - The Collection,U Smile - Acoustic Version,"7,356,890"
