ALBUM,SONG,STREAMS,DAILY
SOUR,"1 step forward, 3 steps back","261,015,870","7,112,453"
SOUR,brutal,"392,944,065","7,268,203"
SOUR,deja vu,"958,134,622","20,663,110"
SOUR,drivers license,"1,542,423,858","21,024,191"
SOUR,enough for you,"283,890,317","5,496,437"
SOUR,favorite crime,"542,017,178","12,641,396"
SOUR,good 4 u,"1,572,358,385","22,035,299"
SOUR,happier,"603,872,991","15,518,388"
SOUR,hope ur ok,"206,106,523","4,073,795"
SOUR,"jealousy, jealousy","483,477,486","11,685,805"
SOUR,traitor,"903,515,227","23,646,849"
Best of High School Musical: The Musical: The Series,"All I Want - From ""High School Musical: The Musical: The Series""","454,190,777","9,449,599"
Best of High School Musical: The Musical: The Series,All I Want - Love That Lasts Mix,"27,739,417","810,577"
Best of High School Musical: The Musical: The Series,"Breaking Free - From ""High School Musical: The Musical: The Series""/Nini, Ricky & E.J. Version","13,759,265","154,152"
Best of High School Musical: The Musical: The Series,"Even When/The Best Part - From ""High School Musical: The Musical: The Series (Season 2)""","38,399,718","1,155,714"
Best of High School Musical: The Musical: The Series,"Granted - From ""High School Musical: The Musical: The Series (Season 2)""","11,866,009","301,927"
Best of High School Musical: The Musical: The Series,"I Think I Kinda, You Know - From ""High School Musical: The Musical: The Series""/Duet","31,517,013","497,078"
Best of High School Musical: The Musical: The Series,"I Think I Kinda, You Know - From ""High School Musical: The Musical: The Series""/Nini Version","6,084,069","82,464"
Best of High School Musical: The Musical: The Series,"Just for a Moment - From ""High School Musical: The Musical: The Series""","72,020,889","893,316"
Best of High School Musical: The Musical: The Series,"Out of the Old - From ""High School Musical: The Musical: The Series""","28,709,794","537,445"
Best of High School Musical: The Musical: The Series,"Start of Something New - From ""High School Musical: The Musical: The Series""/Nini Version","39,815,469","723,266"
Best of High School Musical: The Musical: The Series,"The Best Part - From ""High School Musical: The Musical: The Series (Season 2)""","12,989,271","502,484"
Best of High School Musical: The Musical: The Series,"The Rose Song - From ""High School Musical: The Musical: The Series (Season 2)""","46,289,459","1,358,116"
Best of High School Musical: The Musical: The Series,"Wondering - From ""High School Musical: The Musical: The Series""","98,415,902","1,280,612"
Best of High School Musical: The Musical: The Series,"Wondering - From ""High School Musical: The Musical: The Series""/Ashlyn & Nini Piano Version","11,642,151","166,069"
Let It Glow,"Let It Glow - From ""Frozen Northern Lights""","691,713","8,869"
Bizaardvark,Bizaardvark Theme Song,"4,479,185","41,657"
Bizaardvark,Blobfish,"809,065","19,980"
Bizaardvark,Love the Haters,"4,594,755","28,277"
Bizaardvark,The Comeback Song,"4,874,765","46,481"
All I Want,"What I've Been Looking For - From ""High School Musical: The Musical: The Series""/Nini & E.J. Version","12,317,927","9,573,417"
"I Think I Kinda, You Know ??? Just for a Moment Mashup","I Think I Kinda, You Know ??? Just for a Moment Mashup - From ""High School Musical: The Musical: The Series""","2,802,083","-1,874,172"
All I Want,All I Want - Live at Vevo,"4,770,190","3,253,683"
"YAC Alma Mater [From ""High School Musical: The Musical: The Series","YAC Alma Mater - From ""High School Musical: The Musical: The Series (Season 2)""/Nini Version","1,577,381","695,873"
Orphan,All I Want - Instrumental,"896,154","-1,805,271"
Orphan,Bop to the Top - Nini & Kourtney Version,"2,738,888","-9,418,993"
Orphan,River,"1,610,414","15,797"
Features,Just for a Moment - Instrumental,"1,669,939","11,451"
