ALBUM,SONG,PREV
SOUR,"1 step forward, 3 steps back","261,015,870"
SOUR,brutal,"392,944,065"
SOUR,deja vu,"958,134,622"
SOUR,drivers license,"1,542,423,858"
SOUR,enough for you,"283,890,317"
SOUR,favorite crime,"542,017,178"
SOUR,good 4 u,"1,572,358,385"
SOUR,happier,"603,872,991"
SOUR,hope ur ok,"206,106,523"
SOUR,"jealousy, jealousy","483,477,486"
SOUR,traitor,"903,515,227"
Best of High School Musical: The Musical: The Series,"All I Want - From ""High School Musical: The Musical: The Series""","454,190,777"
Best of High School Musical: The Musical: The Series,All I Want - Love That Lasts Mix,"27,739,417"
Best of High School Musical: The Musical: The Series,"Breaking Free - From ""High School Musical: The Musical: The Series""/Nini, Ricky & E.J. Version","13,759,265"
Best of High School Musical: The Musical: The Series,"Even When/The Best Part - From ""High School Musical: The Musical: The Series (Season 2)""","38,399,718"
Best of High School Musical: The Musical: The Series,"Granted - From ""High School Musical: The Musical: The Series (Season 2)""","11,866,009"
Best of High School Musical: The Musical: The Series,"I Think I Kinda, You Know - From ""High School Musical: The Musical: The Series""/Duet","31,517,013"
Best of High School Musical: The Musical: The Series,"I Think I Kinda, You Know - From ""High School Musical: The Musical: The Series""/Nini Version","6,084,069"
Best of High School Musical: The Musical: The Series,"Just for a Moment - From ""High School Musical: The Musical: The Series""","72,020,889"
Best of High School Musical: The Musical: The Series,"Out of the Old - From ""High School Musical: The Musical: The Series""","28,709,794"
Best of High School Musical: The Musical: The Series,"Start of Something New - From ""High School Musical: The Musical: The Series""/Nini Version","39,815,469"
Best of High School Musical: The Musical: The Series,"The Best Part - From ""High School Musical: The Musical: The Series (Season 2)""","12,989,271"
Best of High School Musical: The Musical: The Series,"The Rose Song - From ""High School Musical: The Musical: The Series (Season 2)""","46,289,459"
Best of High School Musical: The Musical: The Series,"Wondering - From ""High School Musical: The Musical: The Series""","98,415,902"
Best of High School Musical: The Musical: The Series,"Wondering - From ""High School Musical: The Musical: The Series""/Ashlyn & Nini Piano Version","11,642,151"
Let It Glow,"Let It Glow - From ""Frozen Northern Lights""","691,713"
Bizaardvark,Bizaardvark Theme Song,"4,479,185"
Bizaardvark,Blobfish,"809,065"
Bizaardvark,Love the Haters,"4,594,755"
Bizaardvark,The Comeback Song,"4,874,765"
All I Want,"What I've Been Looking For - From ""High School Musical: The Musical: The Series""/Nini & E.J. Version","12,317,927"
"I Think I Kinda, You Know ??? Just for a Moment Mashup","I Think I Kinda, You Know ??? Just for a Moment Mashup - From ""High School Musical: The Musical: The Series""","2,802,083"
All I Want,All I Want - Live at Vevo,"4,770,190"
"YAC Alma Mater [From ""High School Musical: The Musical: The Series","YAC Alma Mater - From ""High School Musical: The Musical: The Series (Season 2)""/Nini Version","1,577,381"
Orphan,All I Want - Instrumental,"896,154"
Orphan,Bop to the Top - Nini & Kourtney Version,"2,738,888"
Orphan,River,"1,610,414"
Features,Just for a Moment - Instrumental,"1,669,939"
