NAME,STREAMS,DAILY
Taylor Swift,"716,345,719","6,524,190"
Fearless,"1,698,185,763","10,456,109"
Live From Clear Channel Stripped 2008,"3,776,491","46,858"
Speak Now World tour Live,"80,107,237","477,741"
Speak Now,"1,751,038,652","22,389,578"
Red,"2,618,746,816","13,816,896"
1989,"4,162,385,487","47,304,248"
reputation,"4,031,727,371","40,372,451"
reputation - Stadium Tour Surprise Song Playlist,"1,372,884,509","5,181,832"
Lover,"4,497,075,870","46,703,821"
evermore,"2,073,667,099","23,298,709"
folklore,"3,432,629,653","53,503,440"
Red (T.V),"1,946,696,611","42,684,412"
Fearless (T.V),"1,351,524,961","26,135,305"
evermore - bonus,"148,443,559","3,330,319"
