ALBUM,SONG,STREAMS,DAILY
Taylor Swift,A Perfectly Good Heart,"12,311,246","109,976"
Taylor Swift,A Place in this World,"20,377,519","170,685"
Taylor Swift,Cold As You,"20,993,033","187,050"
Taylor Swift,I'm Only Me When I'm With You,"26,366,864","233,833"
Taylor Swift,Invisible,"18,713,817","132,173"
Taylor Swift,Mary's Song (Oh My My My),"22,741,145","210,068"
Taylor Swift,Our Song,"162,431,171","1,701,756"
Taylor Swift,Picture To Burn,"93,178,277","1,067,903"
Taylor Swift,Should've Said No,"62,182,341","653,154"
Taylor Swift,Stay Beautiful,"18,758,697","138,406"
Taylor Swift,Teardrops On My Guitar - Radio Single Remix,"135,750,429","985,686"
Taylor Swift,Teardrops on My Guitar - Pop Version,"18,295,323","137,813"
Taylor Swift,The Outside,"13,812,958","126,639"
Taylor Swift,Tied Together with a Smile,"16,513,007","128,574"
Taylor Swift,Tim McGraw,"73,919,892","540,474"
Fearless,Breathe,"58,374,669","182,410"
Fearless,Change,"21,968,737","73,001"
Fearless,Fearless,"86,216,103","327,259"
Fearless,Fifteen,"89,967,386","367,258"
Fearless,Forever & Always,"44,220,622","162,273"
Fearless,Hey Stephen,"40,336,138","143,395"
Fearless,Love Story,"591,195,133","4,081,355"
Fearless,Our Song - International Mix,"5,005,272","10,175"
Fearless,Teardrops On My Guitar - International Mix,"11,725,182","22,903"
Fearless,Tell Me Why,"25,746,417","85,467"
Fearless,The Best Day,"31,837,162","129,334"
Fearless,The Way I Loved You,"51,549,534","435,469"
Fearless,White Horse,"91,526,134","353,145"
Fearless,You Belong With Me,"409,854,382","3,669,424"
Fearless,You're Not Sorry,"38,937,058","118,596"
Fearless,Come In With The Rain,"13,548,844","45,364"
Fearless,Forever & Always - Piano Version,"23,535,722","58,563"
Fearless,Jump Then Fall,"21,273,472","61,533"
Fearless,SuperStar,"11,281,480","34,101"
Fearless,The Other Side Of The Door,"11,992,671","42,277"
Fearless,Untouchable,"18,093,645","52,807"
Live From Clear Channel Stripped 2008,Beautiful Eyes - Live From Clear Channel Stripped 2008,"525,182","8,008"
Live From Clear Channel Stripped 2008,Change - Live From Clear Channel Stripped 2008,"232,460","3,615"
Live From Clear Channel Stripped 2008,Fearless - Live From Clear Channel Stripped 2008,"467,280","7,318"
Live From Clear Channel Stripped 2008,Love Story - Live From Clear Channel Stripped 2008,"1,315,545","9,325"
Live From Clear Channel Stripped 2008,Picture To Burn - Live From Clear Channel Stripped 2008,"293,588","4,623"
Live From Clear Channel Stripped 2008,Should've Said No - Live From Clear Channel Stripped 2008,"324,911","4,902"
Live From Clear Channel Stripped 2008,Teardrops On My Guitar - Live From Clear Channel Stripped 2008,"319,619","4,800"
Live From Clear Channel Stripped 2008,Untouchable - Live From Clear Channel Stripped 2008,"297,906","4,267"
Speak Now World Tour Live,Back To December/Apologize/You're Not Sorry - Live/2011/Medley,"7,371,388","50,578"
Speak Now World Tour Live,Bette Davis Eyes - Live/2011,"5,850,236","30,586"
Speak Now World Tour Live,Better Than Revenge - Live/2011,"4,173,483","26,074"
Speak Now World Tour Live,Dear John - Live/2011,"4,282,040","26,745"
Speak Now World Tour Live,Drops Of Jupiter - Live/2011,"7,515,970","62,795"
Speak Now World Tour Live,Enchanted - Live/2011,"4,861,191","37,868"
Speak Now World Tour Live,Haunted - Live/2011,"3,735,761","21,999"
Speak Now World Tour Live,I Want You Back - Live/2011,"4,358,492","21,250"
Speak Now World Tour Live,Last Kiss - Live/2011,"4,064,509","24,183"
Speak Now World Tour Live,Long Live - Live/2011,"3,914,366","25,422"
Speak Now World Tour Live,Mean - Live/2011,"5,019,377","22,739"
Speak Now World Tour Live,Mine - Live/2011,"4,945,231","24,480"
Speak Now World Tour Live,Ours - Live/2011,"4,794,310","22,077"
Speak Now World Tour Live,Sparks Fly - Live/2011,"6,367,752","31,860"
Speak Now World Tour Live,Speak Now - Live/2011,"4,023,334","22,617"
Speak Now World Tour Live,The Story Of Us - Live,"4,829,797","26,468"
Speak Now,Back To December,"209,547,533","2,486,048"
Speak Now,Better Than Revenge,"97,563,323","1,414,059"
Speak Now,Dear John,"80,325,225","990,748"
Speak Now,Enchanted,"296,616,354","7,105,845"
Speak Now,Haunted,"53,118,404","551,277"
Speak Now,Innocent,"31,356,690","274,735"
Speak Now,Last Kiss,"67,871,723","1,125,247"
Speak Now,Long Live,"56,144,352","559,031"
Speak Now,Mean,"155,812,947","1,166,978"
Speak Now,Mine - POP Mix,"37,310,250","200,434"
Speak Now,Never Grow Up,"53,609,349","518,722"
Speak Now,Sparks Fly,"105,577,373","1,074,370"
Speak Now,Speak Now,"72,295,020","854,577"
Speak Now,The Story Of Us,"24,558,876","297,178"
Speak Now,Back To December - Acoustic,"59,209,817","360,838"
Speak Now,Haunted - Acoustic Version,"14,562,934","119,423"
Speak Now,If This Was A Movie,"27,579,118","329,632"
Speak Now,Mine,"145,125,973","1,383,366"
Speak Now,Ours,"50,242,811","373,872"
Speak Now,Superman,"16,201,228","126,847"
Speak Now,The Story Of Us,"96,409,352","1,076,351"
Red,22,"286,688,865","1,846,700"
Red,All Too Well,"200,514,939","1,072,238"
Red,Begin Again,"101,681,811","457,984"
Red,Come Back...Be Here,"36,175,473","185,356"
Red,Everything Has Changed,"219,358,488","1,226,805"
Red,Girl At Home,"20,696,257","39,897"
Red,Holy Ground,"48,259,930","119,837"
Red,I Almost Do,"54,930,932","141,594"
Red,I Knew You Were Trouble.,"562,661,726","4,179,065"
Red,Red,"193,043,152","900,784"
Red,Red - Original Demo Recording,"15,758,728","29,677"
Red,Sad Beautiful Tragic,"35,269,794","80,390"
Red,Starlight,"38,395,357","90,869"
Red,State Of Grace,"53,619,138","132,827"
Red,State Of Grace - Acoustic,"21,310,438","54,775"
Red,Stay Stay Stay,"50,237,164","138,320"
Red,The Last Time,"58,241,651","167,626"
Red,The Lucky One,"38,816,850","97,228"
Red,The Moment I Knew,"29,038,851","57,948"
Red,Treacherous,"49,097,843","106,134"
Red,Treacherous - Original Demo Recording,"15,007,209","26,777"
Red,We Are Never Ever Getting Back Together,"489,942,220","2,664,065"
1989,All You Had To Do Was Stay,"128,142,593","1,087,996"
1989,Bad Blood,"314,178,335","3,134,516"
1989,Blank Space,"898,906,909","11,853,738"
1989,Blank Space - Voice Memo,"3,169,789","13,565"
1989,Clean,"101,351,533","1,177,463"
1989,How You Get The Girl,"88,534,636","931,258"
1989,I Know Places,"75,468,295","665,717"
1989,I Know Places - Voice Memo,"3,693,646","17,821"
1989,I Wish You Would,"72,025,918","648,297"
1989,I Wish You Would - Voice Memo,"2,912,855","13,194"
1989,New Romantics,"115,423,793","1,768,663"
1989,Out Of The Woods,"178,702,262","1,630,625"
1989,Shake It Off,"827,827,656","8,093,769"
1989,Style,"417,480,825","7,100,821"
1989,This Love,"72,132,363","521,094"
1989,Welcome To New York,"146,633,862","1,228,934"
1989,Wildest Dreams,"576,837,161","5,671,104"
1989,Wonderland,"70,490,744","905,940"
1989,You Are In Love,"68,472,312","839,733"
reputation,...Ready For It?,"407,442,736","1,948,076"
reputation,Call It What You Want,"210,288,714","1,593,092"
reputation,Dancing With Our Hands Tied,"125,302,061","1,086,130"
reputation,Delicate,"588,000,616","3,067,420"
reputation,Don???t Blame Me,"297,757,027","12,478,862"
reputation,Dress,"125,901,340","1,556,675"
reputation,End Game,"313,035,650","1,565,497"
reputation,Getaway Car,"251,529,731","3,519,830"
reputation,Gorgeous,"311,511,363","3,688,067"
reputation,I Did Something Bad,"228,382,888","1,980,685"
reputation,King Of My Heart,"122,629,016","1,351,327"
reputation,Look What You Made Me Do,"754,472,781","3,871,717"
reputation,New Year???s Day,"97,109,912","836,504"
reputation,So It Goes...,"89,144,534","706,892"
reputation,This Is Why We Can't Have Nice Things,"109,219,002","1,121,677"
reputation Stadium Tour Surprise Song Playlist,Babe,"93,442,479","312,054"
reputation Stadium Tour Surprise Song Playlist,I Don???t Wanna Live Forever (Fifty Shades Darker),"1,279,442,030","4,869,778"
Lover,Afterglow,"150,941,055","2,149,926"
Lover,Cornelia Street,"145,977,257","1,715,069"
Lover,Cruel Summer,"335,082,475","8,691,016"
Lover,Daylight,"107,827,244","1,477,728"
Lover,Death By A Thousand Cuts,"134,003,990","1,328,352"
Lover,False God,"104,398,778","1,273,576"
Lover,I Forgot That You Existed,"221,950,773","1,452,573"
Lover,I Think He Knows,"138,662,342","1,291,763"
Lover,It???s Nice To Have A Friend,"72,492,147","532,591"
Lover,London Boy,"152,912,933","1,793,804"
Lover,Lover,"590,986,989","7,924,309"
Lover,ME! (feat. Brendon Urie of Panic! At The Disco),"665,158,055","2,895,999"
Lover,Miss Americana & The Heartbreak Prince,"133,383,941","987,046"
Lover,Paper Rings,"261,601,044","5,381,079"
Lover,Soon You???ll Get Better (feat. The Chicks),"84,290,505","586,610"
Lover,The Archer,"179,248,249","1,016,736"
Lover,The Man,"368,153,589","3,473,980"
Lover,You Need To Calm Down,"650,004,504","2,731,664"
evermore,???tis the damn season,"123,233,241","1,196,356"
evermore,champagne problems,"265,888,322","3,824,268"
evermore,closure,"64,628,704","574,560"
evermore,coney island (feat. The National),"92,497,435","1,024,838"
evermore,cowboy like me,"86,362,580","999,881"
evermore,dorothea,"85,490,675","908,882"
evermore,evermore (feat. Bon Iver),"104,854,425","1,219,364"
evermore,gold rush,"147,052,591","1,659,757"
evermore,happiness,"98,148,240","1,041,029"
evermore,ivy,"105,673,019","1,301,551"
evermore,long story short,"99,104,905","1,151,513"
evermore,marjorie,"80,070,101","902,947"
evermore,"no body, no crime (feat. HAIM)","146,099,971","1,472,733"
evermore,tolerate it,"118,014,279","1,541,843"
evermore,willow,"456,548,611","4,479,187"
folklore: the long pond studio sessions,august,"311,832,317","14,211,961"
folklore: the long pond studio sessions,august - the long pond studio sessions,"9,053,620","214,907"
folklore: the long pond studio sessions,betty,"173,330,414","2,286,745"
folklore: the long pond studio sessions,betty - the long pond studio sessions,"5,221,845","84,602"
folklore: the long pond studio sessions,cardigan,"446,295,970","5,281,244"
folklore: the long pond studio sessions,cardigan - the long pond studio sessions,"8,357,861","165,777"
folklore: the long pond studio sessions,epiphany,"103,611,690","1,006,840"
folklore: the long pond studio sessions,epiphany - the long pond studio sessions,"4,177,283","61,485"
folklore: the long pond studio sessions,exile (feat. Bon Iver),"418,609,018","5,086,392"
folklore: the long pond studio sessions,exile (feat. Bon Iver) - the long pond studio sessions,"21,725,029","358,662"
folklore: the long pond studio sessions,hoax,"99,082,286","1,054,926"
folklore: the long pond studio sessions,hoax - the long pond studio sessions,"4,753,853","74,388"
folklore: the long pond studio sessions,illicit affairs,"155,558,696","2,183,090"
folklore: the long pond studio sessions,illicit affairs - the long pond studio sessions,"5,852,834","101,782"
folklore: the long pond studio sessions,invisible string,"168,523,011","1,988,199"
folklore: the long pond studio sessions,invisible string - the long pond studio sessions,"5,292,387","83,229"
folklore: the long pond studio sessions,mad woman,"115,760,782","1,148,945"
folklore: the long pond studio sessions,mad woman - the long pond studio sessions,"4,430,287","63,839"
folklore: the long pond studio sessions,mirrorball,"164,244,162","2,611,948"
folklore: the long pond studio sessions,mirrorball - the long pond studio sessions,"6,547,636","115,274"
folklore: the long pond studio sessions,my tears ricochet,"198,052,942","2,965,204"
folklore: the long pond studio sessions,my tears ricochet - the long pond studio sessions,"8,341,462","146,011"
folklore: the long pond studio sessions,peace,"111,288,884","1,161,420"
folklore: the long pond studio sessions,peace - the long pond studio sessions,"4,406,014","66,788"
folklore: the long pond studio sessions,seven,"151,031,216","1,771,145"
folklore: the long pond studio sessions,seven - the long pond studio sessions,"5,560,893","86,209"
folklore: the long pond studio sessions,the 1,"282,655,313","3,332,333"
folklore: the long pond studio sessions,the 1 - the long pond studio sessions,"7,380,365","116,261"
folklore: the long pond studio sessions,the lakes - bonus track,"65,814,217","963,950"
folklore: the long pond studio sessions,the lakes - the long pond studio sessions,"6,033,178","101,709"
folklore: the long pond studio sessions,the last great american dynasty,"182,934,479","1,907,587"
folklore: the long pond studio sessions,the last great american dynasty - the long pond studio sessions,"5,682,016","83,539"
folklore: the long pond studio sessions,this is me trying,"163,643,303","2,477,838"
folklore: the long pond studio sessions,this is me trying - the long pond studio sessions,"7,544,390","139,211"
Red,22 (Taylor's Version),"72,165,230","1,865,694"
Red,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),"355,305,358","7,591,076"
Red,All Too Well (Taylor's Version),"107,466,394","2,274,255"
Red,Babe (Taylor's Version) (From The Vault),"46,425,202","1,099,976"
Red,Begin Again (Taylor's Version),"38,008,120","800,945"
Red,Better Man (Taylor's Version) (From The Vault),"56,244,494","1,334,869"
Red,Come Back...Be Here (Taylor's Version),"41,704,878","1,082,322"
Red,Everything Has Changed (feat. Ed Sheeran) (Taylor???s Version),"49,011,156","1,197,543"
Red,Forever Winter (Taylor's Version) (From The Vault),"40,335,448","744,904"
Red,Girl At Home (Taylor's Version),"27,074,310","418,872"
Red,Holy Ground (Taylor's Version),"36,026,929","657,393"
Red,I Almost Do (Taylor's Version),"40,195,823","760,847"
Red,I Bet You Think About Me (feat. Chris Stapleton) (Taylor???s Version) (From The Vault),"93,580,536","2,198,870"
Red,I Knew You Were Trouble (Taylor's Version),"85,292,957","2,367,218"
Red,Message In A Bottle (Taylor's Version) (From The Vault),"94,931,043","2,341,334"
Red,Nothing New (feat. Phoebe Bridgers) (Taylor???s Version) (From The Vault),"90,128,055","1,936,556"
Red,Red (Taylor's Version),"100,990,749","2,146,593"
Red,Ronan (Taylor's Version),"20,182,877","292,195"
Red,Run (feat. Ed Sheeran) (Taylor???s Version) (From The Vault),"75,651,135","1,372,726"
Red,Sad Beautiful Tragic (Taylor's Version),"33,398,756","812,142"
Red,Starlight (Taylor's Version),"30,302,420","523,904"
Red,State Of Grace (Acoustic Version) (Taylor's Version),"24,269,834","390,293"
Red,State Of Grace (Taylor's Version),"55,713,755","988,673"
Red,Stay Stay Stay (Taylor's Version),"39,541,158","765,350"
Red,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor???s Version),"42,425,973","841,297"
Red,The Lucky One (Taylor's Version),"32,121,867","636,273"
Red,The Moment I Knew (Taylor's Version),"31,121,395","520,436"
Red,The Very First Night (Taylor's Version) (From The Vault),"66,755,733","1,635,835"
Red,Treacherous (Taylor's Version),"47,588,578","887,388"
Red,We Are Never Ever Getting Back Together (Taylor's Version),"72,736,448","2,198,633"
Fearless,Breathe (feat. Colbie Caillat) (Taylor???s Version),"30,000,726","396,578"
Fearless,Bye Bye Baby (Taylor???s Version) (From The Vault),"26,225,032","357,937"
Fearless,Change (Taylor???s Version),"20,576,596","247,904"
Fearless,Come In With The Rain (Taylor???s Version),"18,389,378","224,643"
Fearless,Don???t You (Taylor???s Version) (From The Vault),"32,329,819","482,169"
Fearless,Fearless (Taylor???s Version),"58,381,658","1,055,939"
Fearless,Fifteen (Taylor???s Version),"39,878,675","688,733"
Fearless,Forever & Always (Piano Version) (Taylor???s Version),"23,486,717","337,134"
Fearless,Forever & Always (Taylor???s Version),"41,403,272","794,589"
Fearless,Hey Stephen (Taylor???s Version),"37,814,963","582,199"
Fearless,Jump Then Fall (Taylor???s Version),"22,774,998","319,792"
Fearless,Love Story (Taylor???s Version),"238,406,469","3,907,322"
Fearless,Mr. Perfectly Fine (Taylor???s Version) (From The Vault),"160,001,941","2,167,795"
Fearless,Superstar (Taylor???s Version),"16,915,940","202,333"
Fearless,Tell Me Why (Taylor???s Version),"25,781,675","322,898"
Fearless,That???s When (feat. Keith Urban) (Taylor???s Version) (From The Vault),"39,158,083","563,470"
Fearless,The Best Day (Taylor???s Version),"22,815,719","294,091"
Fearless,The Other Side Of The Door (Taylor???s Version),"28,045,269","526,476"
Fearless,The Way I Loved You (Taylor???s Version),"114,920,241","5,666,769"
Fearless,Today Was A Fairytale (Taylor???s Version),"23,092,462","330,360"
Fearless,Untouchable (Taylor???s Version),"22,708,681","330,056"
Fearless,We Were Happy (Taylor???s Version) (From The Vault),"28,725,957","381,766"
Fearless,White Horse (Taylor???s Version),"36,904,792","591,687"
Fearless,You All Over Me (feat. Maren Morris) (Taylor???s Version) (From The Vault),"69,108,999","625,972"
Fearless,You Belong With Me (Taylor???s Version),"144,377,810","4,304,665"
Fearless,You???re Not Sorry (Taylor???s Version),"29,299,089","432,028"
evermore,it???s time to go - bonus track,"46,391,377","693,145"
evermore,right where you left me - bonus track,"102,052,182","2,637,174"
folklore: the yeah I showed up at your party chapter,betty - Live from the 2020 Academy of Country Music Awards,"6,459,524","42,666"
The Taylor Swift Holiday Collection,Christmas Must Be Something More,"3,087,957","12,637"
The Taylor Swift Holiday Collection,Christmases When You Were Mine,"3,154,613","13,295"
The Taylor Swift Holiday Collection,Last Christmas,"15,073,155","45,338"
The Taylor Swift Holiday Collection,Santa Baby,"4,786,414","13,637"
The Taylor Swift Holiday Collection,Silent Night,"2,517,820","13,031"
