ALBUM,SONG,PREV
Taylor Swift,A Perfectly Good Heart,"12,311,246"
Taylor Swift,A Place in this World,"20,377,519"
Taylor Swift,Cold As You,"20,993,033"
Taylor Swift,I'm Only Me When I'm With You,"26,366,864"
Taylor Swift,Invisible,"18,713,817"
Taylor Swift,Mary's Song (Oh My My My),"22,741,145"
Taylor Swift,Our Song,"162,431,171"
Taylor Swift,Picture To Burn,"93,178,277"
Taylor Swift,Should've Said No,"62,182,341"
Taylor Swift,Stay Beautiful,"18,758,697"
Taylor Swift,Teardrops On My Guitar - Radio Single Remix,"135,750,429"
Taylor Swift,Teardrops on My Guitar - Pop Version,"18,295,323"
Taylor Swift,The Outside,"13,812,958"
Taylor Swift,Tied Together with a Smile,"16,513,007"
Taylor Swift,Tim McGraw,"73,919,892"
Fearless,Breathe,"58,374,669"
Fearless,Change,"21,968,737"
Fearless,Fearless,"86,216,103"
Fearless,Fifteen,"89,967,386"
Fearless,Forever & Always,"44,220,622"
Fearless,Hey Stephen,"40,336,138"
Fearless,Love Story,"591,195,133"
Fearless,Our Song - International Mix,"5,005,272"
Fearless,Teardrops On My Guitar - International Mix,"11,725,182"
Fearless,Tell Me Why,"25,746,417"
Fearless,The Best Day,"31,837,162"
Fearless,The Way I Loved You,"51,549,534"
Fearless,White Horse,"91,526,134"
Fearless,You Belong With Me,"409,854,382"
Fearless,You're Not Sorry,"38,937,058"
Fearless,Come In With The Rain,"13,548,844"
Fearless,Forever & Always - Piano Version,"23,535,722"
Fearless,Jump Then Fall,"21,273,472"
Fearless,SuperStar,"11,281,480"
Fearless,The Other Side Of The Door,"11,992,671"
Fearless,Untouchable,"18,093,645"
Live From Clear Channel Stripped 2008,Beautiful Eyes - Live From Clear Channel Stripped 2008,"525,182"
Live From Clear Channel Stripped 2008,Change - Live From Clear Channel Stripped 2008,"232,460"
Live From Clear Channel Stripped 2008,Fearless - Live From Clear Channel Stripped 2008,"467,280"
Live From Clear Channel Stripped 2008,Love Story - Live From Clear Channel Stripped 2008,"1,315,545"
Live From Clear Channel Stripped 2008,Picture To Burn - Live From Clear Channel Stripped 2008,"293,588"
Live From Clear Channel Stripped 2008,Should've Said No - Live From Clear Channel Stripped 2008,"324,911"
